date,LUATTRUU Index,SPXT Index,XBT BGN Curncy
2015-01-01,,,314.49
2015-01-02,2114.32,3768.68,314.73
2015-01-04,,,266.26
2015-01-05,2122.26,3700.03,270.93
2015-01-06,2130.68,3667.14,286.41
2015-01-07,2132.46,3710.94,296.13
2015-01-08,2126.67,3777.4,293.83
2015-01-09,2131.89,3745.67,289.81
2015-01-11,,,268.12
2015-01-12,2138.64,3715.36,270.65
2015-01-13,2141.1,3706.15,236.05
2015-01-14,2146.57,3684.72,183.07
2015-01-15,2153.25,3650.74,206.68
2015-01-16,2148.18,3699.79,208.34
2015-01-18,,,207.87
2015-01-19,,,216.21
2015-01-20,2149.98,3705.64,211.18
2015-01-21,2145.3,3723.62,225.1
2015-01-22,2141.24,3780.51,231.92
2015-01-23,2148.54,3759.76,237.01
2015-01-25,,,251.78
2015-01-26,2147.17,3769.45,271.61
2015-01-27,2147.96,3718.99,261.76
2015-01-28,2158.54,3669.1,235.94
2015-01-29,2155.49,3704.35,234.12
2015-01-30,2163.88,3656.28,229.67
2015-02-01,,,231.1
2015-02-02,2164.11,3703.77,227.3
2015-02-03,2152.37,3757.34,227.86
2015-02-04,2151.22,3742.84,224.98
2015-02-05,2148.71,3782.11,218.76
2015-02-06,2133.98,3770.2,223.37
2015-02-08,,,222.08
2015-02-09,2133.14,3754.36,221
2015-02-10,2128.89,3794.62,219.7
2015-02-11,2129.34,3795.82,219.39
2015-02-12,2129.98,3833.35,222.2
2015-02-13,2126.21,3849.29,234.25
2015-02-15,,,231.03
2015-02-16,,,237.01
2015-02-17,2114.68,3856.04,241.53
2015-02-18,2122.79,3855,233.48
2015-02-19,2118.34,3851.53,240.91
2015-02-20,2116.24,3875.6,244.84
2015-02-22,,,235.59
2015-02-23,2124.52,3874.46,240.42
2015-02-24,2132.31,3885.27,239.34
2015-02-25,2133.72,3882.95,237.97
2015-02-26,2128.47,3877.85,236.5
2015-02-27,2130.46,3866.42,254.87
2015-03-01,,,258.18
2015-03-02,2121.8,3890.32,272.88
2015-03-03,2118.34,3872.71,283.36
2015-03-04,2119.01,3856.51,273.1
2015-03-05,2120.83,3861.29,279.93
2015-03-06,2106.97,3807.04,273.25
2015-03-08,,,274.29
2015-03-09,2111.95,3822.42,289.07
2015-03-10,2118.81,3757.83,293.19
2015-03-11,2120.9,3751.2,294.55
2015-03-12,2123.18,3799.43,296.15
2015-03-13,2122.18,3776.44,288.4
2015-03-15,,,285.65
2015-03-16,2123.94,3827.62,290.13
2015-03-17,2127.8,3814.91,287.46
2015-03-18,2140.38,3861.39,263.42
2015-03-19,2137.07,3842.62,256.95
2015-03-20,2142.23,3877.26,263.17
2015-03-22,,,266.74
2015-03-23,2143.39,3870.49,266.4
2015-03-24,2147.55,3847.05,247.76
2015-03-25,2143.53,3791.13,244.13
2015-03-26,2134.78,3782.21,248.76
2015-03-27,2142.2,3791.9,248.55
2015-03-29,,,242.67
2015-03-30,2140.58,3838.65,247.52
2015-03-31,2143.9,3805.27,244.14
2015-04-01,2150.71,3790.66,245.82
2015-04-02,2146.62,3804.14,252.07
2015-04-03,2154.35,,254.51
2015-04-05,,,256.03
2015-04-06,2147.36,3829.31,254.58
2015-04-07,2148.27,3821.49,254.94
2015-04-08,2148.44,3833.2,246.11
2015-04-09,2141.26,3850.29,242.91
2015-04-10,2141.4,3870.31,234.99
2015-04-12,,,236.13
2015-04-13,2143.59,3852.93,225.16
2015-04-14,2147.65,3859.22,218.31
2015-04-15,2148.26,3879.1,220.23
2015-04-16,2150.18,3876.17,228.99
2015-04-17,2152.89,3832.33,223.31
2015-04-19,,,223.21
2015-04-20,2147.59,3867.82,224.35
2015-04-21,2146.15,3862.15,233.03
2015-04-22,2139.52,3881.93,233.67
2015-04-23,2142.49,3891.46,234.7
2015-04-24,2145.51,3900.24,231.41
2015-04-26,,,222.07
2015-04-27,2145.02,3884.1,223.73
2015-04-28,2139.88,3895.21,224.41
2015-04-29,2134.01,3880.9,226.48
2015-04-30,2132.62,3841.78,236.58
2015-05-01,2124.86,3883.75,234.8
2015-05-03,,,241.09
2015-05-04,2123.2,3895.16,237.51
2015-05-05,2118.83,3849.41,234.69
2015-05-06,2112.67,3833.7,234
2015-05-07,2118.15,3849.13,237.2
2015-05-08,2122.36,3901.01,245.31
2015-05-10,,,239.94
2015-05-11,2110.26,3881.93,242.61
2015-05-12,2112.2,3870.69,241.38
2015-05-13,2110.36,3870.36,243.2
2015-05-14,2113.98,3912.52,236.81
2015-05-15,2123.18,3915.99,237.31
2015-05-17,,,235.81
2015-05-18,2114.49,3928.15,232.08
2015-05-19,2110.64,3926.41,231.83
2015-05-20,2112.07,3923.18,233.92
2015-05-21,2118.37,3932.9,235.51
2015-05-22,2113.35,3924.16,239.53
2015-05-24,,,240.86
2015-05-25,,,235.57
2015-05-26,2122.93,3883.88,236.2
2015-05-27,2123.31,3920.11,235.57
2015-05-28,2124.58,3915.82,236.08
2015-05-29,2128.78,3891.18,235.95
2015-05-31,,,231.78
2015-06-01,2118.42,3899.59,221.98
2015-06-02,2111.69,3895.85,225.09
2015-06-03,2102.81,3904.83,226.96
2015-06-04,2109.27,3871.23,223.68
2015-06-05,2099.49,3865.83,224.88
2015-06-07,,,222.48
2015-06-08,2102.3,3841.45,228.48
2015-06-09,2098.39,3843.16,229.81
2015-06-10,2092.74,3889.7,228.46
2015-06-11,2101.77,3897.59,228.8
2015-06-12,2101.55,3870.56,229.9
2015-06-14,,,232.17
2015-06-15,2104.41,3852.75,235.93
2015-06-16,2108.21,3874.73,246.32
2015-06-17,2109.59,3882.49,250.31
2015-06-18,2105.61,3921.43,249.08
2015-06-19,2113.73,3900.64,246.04
2015-06-21,,,241.92
2015-06-22,2104.46,3924.41,247.24
2015-06-23,2099.97,3927.23,244.36
2015-06-24,2104.44,3898.47,240.98
2015-06-25,2102.95,3887.04,240.66
2015-06-26,2095.03,3886.21,241.27
2015-06-28,,,248.63
2015-06-29,2110.37,3805.5,255.53
2015-06-30,2109.99,3815.85,260.97
2015-07-01,2100.9,3843.26,258.85
2015-07-02,2104.54,3842.06,255.81
2015-07-03,,,255.22
2015-07-05,,,269.69
2015-07-06,2116.71,3827.35,273.94
2015-07-07,2121.58,3850.66,265.92
2015-07-08,2125.28,3787.67,268.05
2015-07-09,2115,3796.26,270.31
2015-07-10,2103.11,3843.1,287.13
2015-07-12,,,309.16
2015-07-13,2102.31,3885.97,289.49
2015-07-14,2105.54,3903.31,290.34
2015-07-15,2111.12,3900.5,290.77
2015-07-16,2110.55,3931.85,278.11
2015-07-17,2111.46,3936.22,278.27
2015-07-19,,,275.34
2015-07-20,2108.46,3939.35,277.55
2015-07-21,2112.03,3922.7,279.28
2015-07-22,2114.18,3913.75,276.53
2015-07-23,2118.96,3891.79,276.95
2015-07-24,2120.26,3850.15,288.16
2015-07-26,,,291.52
2015-07-27,2124.98,3827.93,294.93
2015-07-28,2122.95,3875.37,295.59
2015-07-29,2120.58,3904.21,291.45
2015-07-30,2121.7,3904.64,287.48
2015-07-31,2127.58,3895.8,284.69
2015-08-02,,,281.59
2015-08-03,2133.64,3885.07,283.89
2015-08-04,2127.33,3876.44,285.31
2015-08-05,2121.74,3889.99,282.83
2015-08-06,2125.66,3860.92,278.81
2015-08-07,2131.58,3849.96,279.66
2015-08-09,,,262.77
2015-08-10,2125.61,3899.36,265.13
2015-08-11,2136.37,3862.81,266.21
