date,GSXUNPTC Index,ARKK US Equity NDX Index,NDX Index,SPX Index,XAUBGN BGN Curncy,USGGBE10 Index,USGG10YR Index,DXY Curncy,VIX Index
2015-01-01,93.74,,,,1902.5692,1.6929,2.1712,90.276,
2015-01-02,93.54,20.17,4230.24,2058.2,1936.3042,1.7087,2.1105,91.08,17.79
2015-01-05,93.28,19.6844,4160.96,2020.58,1975.1792,1.6412,2.032,91.378,19.92
2015-01-06,93.26,19.61,4110.83,2002.61,2004.2113,1.554,1.9402,91.499,21.12
2015-01-07,93.57,19.7,4160,2025.9,2000.8223,1.5832,1.9677,91.89,19.31
2015-01-08,93.58,20.14,4240.55,2062.14,2004.3583,1.6205,2.0179,92.368,17.01
2015-01-09,93.59,19.9695,4213.28,2044.81,2019.5902,1.6125,1.9449,91.935,17.55
2015-01-12,93.68,20.15,4169.97,2028.26,2039.1102,1.5641,1.907,91.983,19.6
2015-01-13,93.62,19.99,4166.2,2023.03,2044.9253,1.5332,1.9,92.31,20.56
2015-01-14,93.39,19.93,4145.84,2011.27,2038.7982,1.5686,1.8553,92.161,21.48
2015-01-15,93.03,19.48,4089.65,1992.67,2123.0542,1.5672,1.7149,92.352,22.39
2015-01-16,93.02,19.61,4142.14,2019.42,2165.7622,1.5982,1.8368,92.52,20.95
2015-01-19,93.02,,,,2149.7593,1.5982,1.8368,92.52,
2015-01-20,92.89,19.8899,4171.21,2022.55,2192.7774,1.5966,1.788,93.046,19.89
2015-01-21,92.81,20.25,4192.09,2032.12,2178.6214,1.6169,1.8717,92.904,18.85
2015-01-22,93.04,20.5276,4270.36,2063.15,2240.1301,1.6423,1.8631,94.077,16.4
2015-01-23,93.06,20.63,4278.14,2051.82,2257.7254,1.5984,1.7968,94.762,16.66
2015-01-26,93.04,20.75,4275.72,2057.09,2230.0562,1.611,1.8241,94.802,15.52
2015-01-27,92.84,20.44,4165.5,2029.55,2221.6113,1.6472,1.8231,94.022,17.22
2015-01-28,92.53,20.35,4140.38,2002.16,2226.6062,1.5995,1.7207,94.467,20.44
2015-01-29,92.69,20.39,4181.35,2021.25,2172.5432,1.631,1.7512,94.782,18.76
2015-01-30,92.4,20.24,4148.43,1994.99,2221.8233,1.6448,1.6407,94.804,20.97
2015-02-02,92.42,20.367,4188.59,2020.85,2197.6821,1.6446,1.6642,94.504,19.43
2015-02-03,92.75,20.23,4229.15,2050.03,2147.6524,1.7018,1.7915,93.6,17.33
2015-02-04,92.75,20.4596,4221.2,2041.51,2189.6402,1.6987,1.7513,93.986,18.33
2015-02-05,93.08,20.84,4256.18,2062.52,2155.4544,1.6876,1.8204,93.569,16.85
2015-02-06,93.07,20.792,4228.68,2055.47,2131.2803,1.7175,1.9567,94.698,17.29
2015-02-09,93.09,20.678,4216.09,2046.74,2140.2993,1.7088,1.9775,94.449,18.55
2015-02-10,93.18,20.85,4281.16,2068.59,2131.3333,1.7028,1.9967,94.758,17.23
2015-02-11,93.14,21.026,4297.28,2068.53,2102.7651,1.6884,2.0176,94.985,16.96
2015-02-12,93.04,21.184,4347.97,2088.48,2095.8262,1.6624,1.9844,94.094,15.34
2015-02-13,93.11,21.45,4384.03,2096.99,2109.4192,1.6952,2.0504,94.201,14.69
2015-02-16,93.11,,,,2123.0684,1.6928,2.0504,94.201,
2015-02-17,93.23,21.34,4385.34,2100.34,2073.4163,1.7211,2.1379,94.061,15.8
2015-02-18,93.12,21.37,4390.91,2099.68,2081.1023,1.7196,2.08,94.198,15.45
2015-02-19,93.29,21.54,4411.86,2097.45,2076.3943,1.7529,2.1142,94.404,15.29
2015-02-20,93.45,21.684,4443.05,2110.3,2066.2383,1.7572,2.1117,94.253,14.3
2015-02-23,93.32,21.48,4449.49,2109.66,2073.7454,1.734,2.0574,94.569,14.56
2015-02-24,93.28,21.4217,4451.03,2115.48,2070.3652,1.7281,1.98,94.493,13.69
2015-02-25,93.15,21.4301,4440.59,2113.86,2074.1204,1.7352,1.9688,94.213,13.84
2015-02-26,93.06,21.6399,4462.27,2110.74,2112.5562,1.8068,2.0295,95.292,13.91
2015-02-27,92.77,21.51,4440.67,2104.5,2118.9143,1.8336,1.993,95.293,13.34
2015-03-02,93.05,21.499,4483.05,2117.39,2110.8962,1.8325,2.082,95.462,13.04
2015-03-03,92.93,21.34,4458.78,2107.78,2106.3643,1.8738,2.1189,95.383,13.86
2015-03-04,93.14,21.219,4445.36,2098.53,2119.0252,1.8793,2.1172,95.965,14.23
2015-03-05,93.47,21.3515,4452.06,2101.04,2125.1233,1.8495,2.1154,96.378,14.04
2015-03-06,93.24,20.9657,4399.23,2071.26,2106.2512,1.8328,2.2414,97.615,15.2
2015-03-09,93.42,20.8,4412.99,2079.43,2103.7441,1.7632,2.1907,97.588,15.06
2015-03-10,93.31,20.5776,4329.08,2044.16,2124.0833,1.7386,2.1297,98.618,16.69
2015-03-11,93.41,20.665,4305.38,2040.24,2142.3892,1.7283,2.1086,99.795,16.87
2015-03-12,93.59,20.68,4336.23,2065.95,2121.6873,1.7105,2.1156,99.435,15.42
2015-03-13,93.49,20.6164,4314.9,2053.4,2158.9942,1.6956,2.114,100.33,16
2015-03-16,93.7,20.8,4370.47,2081.19,2136.7761,1.6558,2.0717,99.604,15.61
2015-03-17,93.68,20.87,4375.63,2074.28,2121.6753,1.653,2.0507,99.585,15.66
2015-03-18,93.9,20.8,4422.5,2099.5,2101.5403,1.7242,1.9199,98.55,13.97
2015-03-19,93.75,21.1001,4426.83,2089.27,2148.6882,1.7932,1.9685,99.26,14.07
2015-03-20,93.67,21.33,4458.54,2108.1,2137.3543,1.7662,1.9303,97.909,13.02
2015-03-23,93.62,21.29,4445.55,2104.42,2125.4673,1.7487,1.912,97.033,13.41
2015-03-24,93.65,21.29,4430.98,2091.5,2136.3801,1.7721,1.8731,97.193,13.62
2015-03-25,93.22,20.8101,4329.29,2061.05,2131.2044,1.8029,1.925,96.979,15.44
2015-03-26,93.22,20.79,4315.26,2056.15,2164.7341,1.8087,1.9894,97.436,15.8
2015-03-27,93.3,20.76,4332.86,2061.02,2152.9143,1.7767,1.9615,97.291,15.07
2015-03-30,93.57,21,4382.82,2086.24,2141.3123,1.7463,1.9475,97.975,14.51
2015-03-31,93.59,20.835,4333.69,2067.89,2157.1934,1.7773,1.9231,98.357,15.29
2015-04-01,93.42,20.5,4311.26,2059.69,2187.9321,1.8058,1.8573,98.185,15.11
2015-04-02,93.56,20.6575,4316.01,2066.96,2162.3933,1.8148,1.9117,97.436,14.67
2015-04-03,93.56,,,,2150.5933,1.8368,1.8389,96.545,
2015-04-06,93.71,20.9699,4350.98,2080.62,2175.4063,1.8464,1.8952,96.777,14.74
2015-04-07,93.8,20.96,4344.08,2076.33,2186.9133,1.8598,1.8848,97.83,14.78
2015-04-08,94.08,21.2155,4375.96,2081.9,2181.5552,1.8389,1.9047,97.94,13.98
2015-04-09,94.09,21.32,4403.95,2091.18,2192.3482,1.8361,1.9596,99.155,13.09
2015-04-10,94.06,21.49,4422.02,2102.06,2227.7202,1.8227,1.9473,99.338,12.58
2015-04-13,94.03,21.53,4409.21,2092.43,2218.9153,1.8122,1.9272,99.49,13.94
2015-04-14,93.99,21.39,4397.65,2095.84,2189.6533,1.8087,1.8985,98.733,13.67
2015-04-15,94.23,21.6,4424.53,2106.63,2201.5542,1.8401,1.888,98.319,12.84
2015-04-16,94.25,21.84,4418.83,2104.99,2178.3652,1.8526,1.8897,97.415,12.6
2015-04-17,94.09,21.4,4351.8,2081.18,2179.4592,1.893,1.8653,97.52,13.89
2015-04-20,94.33,21.5,4417.4,2100.4,2178.1323,1.8943,1.8896,97.941,13.3
2015-04-21,94.39,21.5925,4435.98,2097.29,2190.5823,1.8719,1.9087,98.004,13.25
2015-04-22,94.53,21.76,4460.81,2107.96,2164.7952,1.8806,1.9788,97.932,12.71
2015-04-23,94.77,21.985,4477.07,2112.93,2157.5261,1.8875,1.9577,97.278,12.48
2015-04-24,94.56,21.9866,4536.78,2117.69,2120.1692,1.896,1.9086,96.922,12.29
2015-04-27,94.45,22.23,4525.04,2108.92,2158.9321,1.9115,1.9208,96.765,13.12
2015-04-28,94.4,21.73,4515.27,2114.76,2158.8113,1.899,2.0034,96.092,12.41
2015-04-29,94.16,21.55,4488.15,2106.85,2117.5842,1.9268,2.0388,95.209,13.39
2015-04-30,93.85,20.955,4414.25,2085.51,2063.9421,1.929,2.0317,94.6,14.55
2015-05-01,93.92,20.79,4479.06,2108.29,2058.3533,1.9457,2.1135,95.297,12.7
2015-05-04,93.93,21.0121,4482.61,2114.49,2085.2112,1.9315,2.144,95.48,12.85
2015-05-05,93.75,20.7699,4409.39,2089.46,2086.6152,1.9336,2.1853,95.076,14.31
2015-05-06,93.58,20.64,4379.75,2080.15,2054.9622,1.9124,2.2431,94.087,15.15
2015-05-07,93.5,20.86,4401.55,2088,2056.2302,1.8937,2.18,94.635,15.13
2015-05-08,93.53,20.84,4458.65,2116.1,2073.8162,1.8856,2.1478,94.794,12.86
2015-05-11,93.7,21,4438.64,2105.33,2075.7603,1.884,2.2797,95.011,13.85
2015-05-12,93.76,20.9,4420.65,2099.12,2082.4282,1.8863,2.2489,94.534,13.86
2015-05-13,93.67,21.0099,4426.56,2098.48,2087.5432,1.8964,2.2926,93.617,13.76
2015-05-14,93.62,21.1799,4495.04,2121.1,2093.0972,1.8769,2.2301,93.457,12.74
2015-05-15,93.66,21.1324,4494.29,2122.73,2091.0942,1.8618,2.1424,93.135,12.38
2015-05-18,93.67,21.249,4512.95,2129.2,2118.2363,1.8837,2.2337,94.221,12.73
2015-05-19,93.63,21.26,4503.72,2127.83,2118.7432,1.8824,2.2886,95.267,12.85
2015-05-20,93.49,21.2199,4505.3,2125.85,2132.7742,1.9012,2.2479,95.448,12.88
2015-05-21,93.53,21.41,4529.47,2130.82,2120.5803,1.8744,2.1898,95.255,12.11
2015-05-22,93.53,21.4574,4527.16,2126.06,2142.2932,1.899,2.2092,96.014,12.13
2015-05-25,93.53,,,,2149.9243,1.899,2.2092,96.014,
2015-05-26,93.43,21.31,4472.96,2104.2,2135.5403,1.8479,2.139,97.299,14.06
2015-05-27,93.57,21.3201,4546.06,2123.48,2131.0293,1.8136,2.1285,97.371,13.27
2015-05-28,93.66,21.58,4535.66,2120.79,2122.7293,1.8101,2.1355,96.965,13.31
2015-05-29,93.68,21.596,4508.25,2107.39,2118.0203,1.8288,2.1214,96.907,13.84
2015-06-01,93.72,21.52,4521.85,2111.73,2128.6973,1.8274,2.1794,97.392,13.97
2015-06-02,93.82,21.5579,4508.89,2109.6,2092.5523,1.852,2.2624,95.835,14.24
2015-06-03,93.89,21.6799,4519.86,2114.07,2055.8452,1.8556,2.3642,95.465,13.66
2015-06-04,93.56,21.6,4487.03,2095.84,2048.1333,1.8361,2.307,95.461,14.71
2015-06-05,93.66,21.625,4477.19,2092.83,2062.4211,1.8859,2.4076,96.306,14.21
2015-06-08,93.73,21.5999,4431.52,2079.28,2033.6152,1.8769,2.3824,95.299,15.29
2015-06-09,93.57,21.4605,4427.61,2080.15,2040.1882,1.8953,2.4384,95.166,14.47
2015-06-10,93.61,21.8501,4485.46,2105.2,2048.5322,1.8872,2.4838,94.646,13.22
2015-06-11,93.63,21.78,4488.47,2108.86,2053.4282,1.8573,2.3772,94.976,12.85
2015-06-12,93.49,21.65,4453.79,2094.11,2050.8542,1.8662,2.3918,94.972,13.78
2015-06-15,93.58,21.37,4432.92,2084.43,2056.4993,1.8717,2.3559,94.81,15.39
2015-06-16,93.85,21.62,4455.9,2096.29,2055.3872,1.9052,2.3093,94.999,14.81
2015-06-17,93.88,21.83,4468.98,2100.44,2044.5652,1.9232,2.3165,94.296,14.5
2015-06-18,94.2,22.0505,4531.85,2121.24,2068.7664,1.9083,2.3345,94.042,13.19
2015-06-19,94.71,22,4513.42,2109.99,2068.9863,1.8842,2.2577,94.085,13.96
2015-06-22,95.15,22.05,4544.04,2122.85,2045.4692,1.9294,2.3725,94.329,12.74
2015-06-23,95.37,22.23,4548.74,2124.2,2064.2622,1.9415,2.4087,95.432,12.11
2015-06-24,94.98,21.94,4524.6,2108.58,2051.7131,1.9277,2.3672,95.264,13.26
2015-06-25,95.13,21.8999,4514.01,2102.31,2047.7772,1.9315,2.4088,95.187,14.01
2015-06-26,94.79,21.7399,4484.28,2101.49,2058.0232,1.9364,2.4726,95.472,14.02
2015-06-29,94.19,21.16,4379.87,2057.64,2053.8313,1.8836,2.3242,94.79,18.85
2015-06-30,94.98,21.35,4396.76,2063.11,2058.9993,1.8929,2.3531,95.485,18.23
2015-07-01,95.32,21.31,4429.23,2077.42,2066.9993,1.9152,2.4219,96.31,16.09
2015-07-02,95.26,21.2479,4433.39,2076.78,2057.7822,1.9202,2.3823,96.113,16.79
2015-07-03,95.26,,,,2057.9124,1.9202,2.3823,96.113,
2015-07-06,94.93,21.0978,4418.66,2068.76,2070.5593,1.9001,2.285,96.298,17.01
2015-07-07,94.91,20.98,4429.06,2081.34,2051.6042,1.8868,2.2582,96.865,16.09
2015-07-08,94.64,20.78,4351.58,2046.68,2045.1663,1.8417,2.1922,96.294,19.66
2015-07-09,94.97,20.95,4352.03,2051.31,2054.3704,1.8613,2.3211,96.606,19.97
2015-07-10,95.25,21.17,4420.15,2076.62,2039.9103,1.882,2.3972,96.025,16.83
2015-07-13,95.66,21.44,4494.47,2099.6,2058.4663,1.8789,2.4538,96.858,13.9
2015-07-14,96.16,21.565,4523.47,2108.95,2053.6963,1.8646,2.401,96.643,13.37
2015-07-15,96.1,21.415,4528.36,2107.4,2053.5593,1.8505,2.3521,97.166,13.23
2015-07-16,96.4,21.8481,4594.9,2124.29,2060.2273,1.8495,2.3503,97.668,12.11
2015-07-17,96.49,21.92,4661.6,2126.64,2048.8892,1.8321,2.3469,97.862,11.95
2015-07-20,95.97,21.95,4679.68,2128.28,1981.0472,1.832,2.3723,98.029,12.25
2015-07-21,96.1,21.87,4674.41,2119.21,1969.1443,1.8286,2.3253,97.328,12.22
2015-07-22,95.98,21.65,4623.24,2114.15,1958.3843,1.8149,2.3235,97.598,12.12
2015-07-23,95.91,21.8,4602.83,2102.15,1941.9783,1.7691,2.2677,97.115,12.64
2015-07-24,95.72,21.9,4557.38,2079.65,1957.7512,1.7627,2.2624,97.244,13.74
2015-07-27,95.24,21.65,4519.09,2067.64,1929.8573,1.7328,2.2175,96.502,15.6
2015-07-28,95.64,21.9699,4560.23,2093.25,1937.0343,1.7445,2.2499,96.772,13.44
2015-07-29,95.41,21.82,4581.6,2108.57,1953.4513,1.7691,2.2859,96.976,12.5
2015-07-30,95.57,21.65,4598.59,2108.63,1947.8072,1.7649,2.2589,97.56,12.13
2015-07-31,96.16,21.5,4588.91,2103.84,1951.1393,1.7453,2.1801,97.336,12.12
2015-08-03,96.24,21.11,4580.46,2098.04,1940.9942,1.7019,2.148,97.494,12.56
2015-08-04,96.39,21.05,4567.47,2093.32,1955.0052,1.7044,2.2213,97.931,13
2015-08-05,96.57,21.1,4602.24,2099.84,1945.9382,1.7007,2.2699,97.958,12.51
2015-08-06,95.27,20.8,4528.51,2083.56,1945.4563,1.6762,2.2214,97.833,13.77
2015-08-07,95.42,20.777,4520.08,2077.57,1951.6522,1.6614,2.1623,97.563,13.39
2015-08-10,95.21,21.28,4573.11,2104.18,1960.6222,1.6987,2.2269,97.159,12.23
2015-08-11,94.81,20.9984,4513.99,2084.07,1964.2392,1.6562,2.1409,97.29,13.71
2015-08-12,94.99,20.8,4528.19,2086.05,1970.7283,1.6299,2.148,96.262,13.61
2015-08-13,95.35,20.988,4519.32,2083.39,1955.8462,1.6256,2.1854,96.445,13.49
2015-08-14,95.51,20.96,4530.74,2091.54,1962.9623,1.6271,2.1977,96.52,12.83
2015-08-17,95.9,21.117,4566.37,2102.44,1973.5542,1.5975,2.1678,96.806,13.02
2015-08-18,95.61,20.98,4542.07,2096.92,1982.7552,1.5943,2.1925,97.04,13.79
2015-08-19,95.31,20.75,4510.9,2079.61,1994.7433,1.5753,2.1256,96.359,15.25
2015-08-20,94.39,19.89,4385.13,2035.73,2004.6892,1.5609,2.0679,95.98,19.14
2015-08-21,93.84,19.53,4197.27,1970.89,1993.7913,1.5367,2.0365,95.008,28.03
2015-08-24,92.95,18.9599,4038.6,1893.21,1944.1582,1.4898,2.0034,93.332,40.74
2015-08-25,92.97,19.38,4016.32,1867.61,1937.2822,1.5315,2.0714,94.53,36.02
2015-08-26,93.39,19.445,4219.6,1940.51,1945.2333,1.545,2.1752,95.1,30.32
2015-08-27,93.28,20.0445,4324.82,1987.66,1956.7173,1.5886,2.1841,95.61,26.1
2015-08-28,93.49,20.24,4329.12,1988.87,1982.3363,1.6175,2.1807,96.106,26.05
2015-08-31,93.25,20.1,4274.58,1972.18,1979.9532,1.6367,2.2179,95.824,28.43
2015-09-01,92.53,19.3699,4142.63,1913.85,1971.1572,1.5716,2.1524,95.45,31.4
2015-09-02,93.25,19.585,4256.23,1948.86,1975.6553,1.5591,2.1843,95.828,26.09
2015-09-03,93.1,19.81,4234.65,1951.13,1978.7632,1.5364,2.1596,96.405,25.61
2015-09-04,92.87,19.4199,4184.72,1921.22,1967.7652,1.5137,2.1244,96.229,27.8
2015-09-07,92.87,,,,1959.8982,1.5142,2.1244,96.229,
2015-09-08,93.66,20.02,4303.53,1969.41,1958.2273,1.5335,2.1828,95.985,24.9
2015-09-09,93.99,20.09,4253.45,1942.04,1933.3163,1.5594,2.2006,96.012,26.23
2015-09-10,93.82,20.01,4296.3,1952.29,1925.9573,1.5988,2.222,95.456,24.37
2015-09-11,93.59,20.11,4323.23,1961.05,1911.2023,1.5898,2.1883,95.194,23.2
2015-09-14,93.34,20.07,4308.76,1953.03,1916.7283,1.5633,2.1831,95.246,24.25
2015-09-15,93.79,20.33,4360.28,1978.09,1918.5572,1.5755,2.2867,95.611,22.54
2015-09-16,94.41,20.57,4383.67,1995.31,1939.1192,1.5713,2.294,95.42,21.35
2015-09-17,94.74,20.75,4384.96,1990.2,1935.1882,1.5807,2.1903,94.55,21.14
2015-09-18,94.9,20.4295,4323.86,1958.03,1973.4802,1.5632,2.1336,94.863,22.28
2015-09-21,94.46,20.3,4336.13,1966.97,1981.0622,1.5576,2.2012,95.894,20.14
2015-09-22,94.3,19.88,4274.1,1942.74,1976.7373,1.53,2.1337,96.283,22.44
2015-09-23,93.99,19.8399,4273.53,1938.76,1976.4692,1.5243,2.1497,96.068,22.13
2015-09-24,93.92,19.61,4261.1,1932.24,2009.4022,1.4966,2.1266,95.994,23.47
2015-09-25,93.26,19.4,4224.74,1931.34,2002.2832,1.4696,2.1623,96.269,23.62
2015-09-28,92.34,19,4103.47,1881.77,1969.0532,1.3862,2.0949,96.034,27.63
2015-09-29,92.03,18.6899,4083.37,1884.09,1960.0022,1.3999,2.0508,95.855,26.83
2015-09-30,92.34,18.79,4181.06,1920.03,1951.2862,1.4309,2.0368,96.35,24.5
2015-10-01,91.91,18.53,4192.96,1923.82,1945.6582,1.4604,2.0368,96.185,22.55
2015-10-02,91.99,19.08,4267.45,1951.36,1986.1443,1.4937,1.9929,95.83,20.94
2015-10-05,92.26,19.52,4331.43,1987.05,1985.3793,1.5132,2.0562,96.106,19.54
2015-10-06,91.96,19.23,4306.7,1979.92,1990.7123,1.5274,2.0315,95.455,19.4
2015-10-07,91.88,19.51,4333.46,1995.83,1993.8213,1.5535,2.0668,95.497,18.4
2015-10-08,91.98,19.39,4350.15,2013.43,1975.6892,1.5807,2.104,95.318,17.42
2015-10-09,92.16,19.8247,4370.01,2014.89,1991.5362,1.5328,2.0881,94.813,17.08
2015-10-12,91.66,19.6699,4382.56,2017.46,2003.9172,1.5328,2.0881,94.841,16.17
2015-10-13,91.67,19.6,4352.94,2003.69,2009.0553,1.5217,2.0439,94.759,17.67
2015-10-14,91.55,19.5,4346.92,1994.24,2018.4922,1.4938,1.9718,93.931,18.03
2015-10-15,91.91,19.525,4418.22,2023.86,2032.7352,1.5006,2.0175,94.371,16.05
2015-10-16,92.02,19.81,4438.62,2033.11,2028.9592,1.4844,2.0334,94.54,15.05
2015-10-19,92.07,19.81,4462.07,2033.66,2021.5072,1.46,2.0228,94.928,14.98
2015-10-20,91.89,19.496,4438.18,2030.77,2027.3092,1.4866,2.067,94.913,15.75
2015-10-21,91.38,19.66,4413.52,2018.94,2011.4153,1.4524,2.0228,95.035,16.7
2015-10-22,91.25,19.449,4503.22,2052.51,2050.1372,1.4863,2.0263,96.378,14.45
2015-10-23,91.42,19.81,4624.09,2075.15,2067.0923,1.5231,2.0866,97.127,14.46
2015-10-26,91.15,19.78,4630.85,2071.18,2053.2593,1.4874,2.0564,96.861,15.29
2015-10-27,90.82,19.61,4639.23,2065.89,2065.7383,1.4859,2.037,96.906,15.43
2015-10-28,91.23,19.82,4678.58,2090.35,2069.7761,1.4732,2.1009,97.782,14.33
2015-10-29,90.9,19.72,4670.77,2089.41,2041.7472,1.5223,2.1725,97.282,14.61
